Date;Closing_rate;Change;Turnover;Transactions
04.09.2001;18,45;0,013642776;790842;820
05.09.2001;19,2;0,039845909;817137;942
06.09.2001;19,35;0,00778214;1274616;1143
07.09.2001;18,6;-0,039530839;743317;1046
10.09.2001;18,25;-0,018996501;406222;725
11.09.2001;17,9;-0,019364367;1366012;1051
12.09.2001;17,7;-0,011236073;793565;1123
13.09.2001;17,75;0,002820876;776202;825
14.09.2001;16,8;-0,05500663;676049;952
17.09.2001;16,55;-0,014992785;730506;805
18.09.2001;16,6;0,003016594;512506;535
19.09.2001;17,2;0,035506688;750555;681
20.09.2001;16,7;-0,029500664;247382;465
21.09.2001;15,9;-0,04908961;781911;909
24.09.2001;15,2;-0,045023681;628159;960
25.09.2001;15,1;-0,006600684;729391;994
26.09.2001;15,5;0,02614528;642892;644
27.09.2001;15,25;-0,016260521;910758;719
28.09.2001;15,4;0,009788006;706436;540
01.10.2001;15,4;0;458095;380
02.10.2001;15,45;0,003241494;874718;612
03.10.2001;15,25;-0,0130295;1020134;625
04.10.2001;15,7;0,029081209;626307;492
05.10.2001;15,4;-0,019293203;230412;276
08.10.2001;15,45;0,003241494;270530;325
09.10.2001;16,4;0,059672331;861615;736
10.10.2001;17,35;0,056311172;1686943;978
11.10.2001;17,85;0,028411002;2260345;1621
12.10.2001;17,65;-0,011267725;1221293;831
15.10.2001;17,3;-0,020029282;556266;493
16.10.2001;18,3;0,056194558;1615862;1111
17.10.2001;18;-0,016529302;2173975;2379
18.10.2001;17,8;-0,011173301;537194;749
19.10.2001;17,55;-0,014144507;826122;882
22.10.2001;17,7;0,00851069;281155;456
23.10.2001;17,2;-0,028655256;1270119;2054
24.10.2001;17,15;-0,00291121;963944;1376
25.10.2001;17,5;0,020202707;1057217;1874
26.10.2001;18,4;0,050149784;1694486;2467
29.10.2001;18,95;0,029453267;2141202;2513
30.10.2001;18,65;-0,015957785;2116629;2102
31.10.2001;18,65;0;726718;924
02.11.2001;18,65;0;853272;479
05.11.2001;19,1;0,023842189;950581;646
06.11.2001;19;-0,005249356;950861;748
07.11.2001;19,05;0,002628122;657029;565
08.11.2001;19,35;0,015625318;812563;692
09.11.2001;19,3;-0,002587324;1039942;1045
12.11.2001;18,9;-0,020943174;857693;863
13.11.2001;19,6;0,036367644;1034748;710
14.11.2001;19,85;0,012674441;2591990;1850
15.11.2001;19,4;-0,022930941;748324;760
16.11.2001;19,35;-0,002580647;429662;600
19.11.2001;19,75;0,020461072;509094;690
20.11.2001;19,6;-0,007623925;375742;514
21.11.2001;18,75;-0,044335814;991961;731
22.11.2001;19;0,013245227;1346581;845
23.11.2001;19;0;403514;455
26.11.2001;19,15;0,007863736;312601;573
27.11.2001;19,05;-0,005235614;377983;493
28.11.2001;18,75;-0,015873349;713217;557
29.11.2001;18,75;0;287643;482
30.11.2001;18,5;-0,01342302;316884;396
03.12.2001;18,5;0;207856;512
04.12.2001;19,1;0,031917603;612153;774
05.12.2001;19,15;0,002614381;721137;762
06.12.2001;19,15;0;785760;712
07.12.2001;19,15;0;552921;551
10.12.2001;19;-0,007863736;698017;562
11.12.2001;19,1;0,005249356;806568;714
12.12.2001;18,95;-0,007884404;322436;366
13.12.2001;18,6;-0,018642351;749678;554
14.12.2001;18,8;0,010695289;493578;449
17.12.2001;18,8;0;437458;1404
18.12.2001;18,95;0,007947062;412158;570
19.12.2001;19,1;0,007884404;624257;835
20.12.2001;18,95;-0,007884404;269236;518
21.12.2001;18,7;-0,013280408;561369;486
27.12.2001;18,85;0,00798939;142301;322
28.12.2001;19,2;0,018397365;344921;488
31.12.2001;19;-0,0104713;254790;330
02.01.2002;19,25;0,013072082;523561;318
03.01.2002;20,8;0,077441926;1829397;1764
04.01.2002;21;0,009569451;1786096;2003
07.01.2002;21,3;0,014184635;1189151;1365
08.01.2002;21;-0,014184635;1347696;1072
09.01.2002;21,7;0,032789823;1931188;1704
10.01.2002;21,1;-0,02803922;2185668;2201
11.01.2002;21,4;0,014117882;766982;874
14.01.2002;21;-0,018868484;685410;626
15.01.2002;21,2;0,009478744;404036;527
16.01.2002;21,1;-0,004728141;330268;488
17.01.2002;21,5;0,018779895;516877;739
18.01.2002;21,3;-0,009345862;279199;530
21.01.2002;21,1;-0,009434032;383550;528
22.01.2002;21,6;0,023420274;1342404;1031
23.01.2002;21,3;-0,013986242;759486;709
24.01.2002;21,8;0,023202897;1293137;1071
25.01.2002;22,2;0,018182319;2266996;2387
28.01.2002;21,7;-0,022780028;1242804;1419
29.01.2002;22,1;0,018265348;653231;604
30.01.2002;21,7;-0,018265348;585224;611
31.01.2002;22,3;0,027274418;954183;885
01.02.2002;22,9;0,026550232;2916978;2090
04.02.2002;22,5;-0,017621601;1293466;838
05.02.2002;22;-0,022472856;2834656;992
06.02.2002;21,7;-0,013730193;912965;844
07.02.2002;20,2;-0,071629656;2366058;2540
08.02.2002;20,3;0,004938282;2012117;2261
11.02.2002;21,5;0,057432049;3789322;2972
12.02.2002;21;-0,023530497;1076748;1577
13.02.2002;21,3;0,014184635;266389;278
14.02.2002;21,1;-0,009434032;920761;446
15.02.2002;21,1;0;586742;317
18.02.2002;21,1;0;250890;309
19.02.2002;20,9;-0,009523882;654872;513
20.02.2002;20,7;-0,009615459;746167;1023
21.02.2002;19,75;-0,046980209;2167040;1692
22.02.2002;19,5;-0,012739026;866477;787
25.02.2002;19,6;0,005115101;1323924;962
26.02.2002;19,6;0;1584280;883
27.02.2002;19,85;0,012674441;1667789;611
28.02.2002;19,7;-0,007585371;460205;447
01.03.2002;19,8;0,005063302;318167;308
04.03.2002;19,6;-0,010152371;1264180;711
05.03.2002;19,35;-0,012837147;607762;645
06.03.2002;19,35;0;559854;500
07.03.2002;19,45;0,005154651;615026;448
08.03.2002;19,45;0;391641;438
11.03.2002;19,2;-0,012936791;865636;670
12.03.2002;18,8;-0,021053409;481471;653
13.03.2002;19,1;0,015831465;729802;627
14.03.2002;18,9;-0,010526413;197902;337
15.03.2002;18,7;-0,010638398;683747;650
18.03.2002;18,75;0,002670229;116584;337
19.03.2002;18,1;-0,035281814;946754;848
20.03.2002;18,5;0,021858794;550122;607
21.03.2002;18,6;0,005390849;407511;465
22.03.2002;18,9;0,016000341;288568;448
25.03.2002;18,8;-0,005305052;235158;404
26.03.2002;18,7;-0,005333346;354563;314
27.03.2002;18,9;0,010638398;608460;334
28.03.2002;18,65;-0,013315776;322194;326
02.04.2002;18,3;-0,018945086;339628;463
03.04.2002;18,25;-0,00273598;394584;390
04.04.2002;18,35;0,005464494;341248;310
05.04.2002;18,6;0,013532006;1179712;498
08.04.2002;18,65;0,002684565;1314796;646
09.04.2002;18,9;0,013315776;568281;561
10.04.2002;18,6;-0,016000341;976364;615
11.04.2002;18,3;-0,016260521;682742;434
12.04.2002;18,35;0,002728515;379467;339
15.04.2002;18,8;0,024227295;348389;550
16.04.2002;18,8;0;393601;410
17.04.2002;18,45;-0,018792499;621533;569
18.04.2002;18,5;0,002706362;220564;370
19.04.2002;18,4;-0,005420067;342441;365
22.04.2002;18,6;0,010810916;265624;293
23.04.2002;18,55;-0,002691792;531827;429
24.04.2002;18,55;0;408174;383
25.04.2002;18,4;-0,008119124;520274;407
26.04.2002;18,5;0,005420067;611892;351
29.04.2002;18,5;0;234263;262
30.04.2002;18,4;-0,005420067;454173;414
02.05.2002;18,3;-0,005449605;456898;355
06.05.2002;18,25;-0,00273598;217726;355
07.05.2002;18,2;-0,002743486;590720;499
08.05.2002;18,45;0,013642776;891448;616
09.05.2002;18,4;-0,002713706;266175;372
10.05.2002;18,2;-0,010929071;647347;438
13.05.2002;18,5;0,016349138;195602;308
14.05.2002;18,5;0;641574;419
15.05.2002;18,45;-0,002706362;563107;365
16.05.2002;18,8;0,018792499;1240448;974
17.05.2002;19,3;0,026248226;2237880;1907
20.05.2002;19,25;-0,002594035;826410;740
21.05.2002;19,4;0,007762005;1260027;992
22.05.2002;19,15;-0,01297035;502123;429
23.05.2002;19,2;0,002607563;214577;312
24.05.2002;19,85;0,033293728;980313;1031
