"TIME","GEO","UNIT","ICCS","Value","Flag and Footnotes"
"2010","DEB3G","Number","ICCS0101","2",""
"2010","DEB3H","Number","ICCS0101","0",""
"2010","DEB3I","Number","ICCS0101","0",""
"2010","DEB3J","Number","ICCS0101","1",""
"2010","DEB3K","Number","ICCS0101","0",""
"2010","DEC","Number","ICCS0101","16",""
"2010","DEC01","Number","ICCS0101","5",""
"2010","DEC02","Number","ICCS0101","2",""
"2010","DEC03","Number","ICCS0101","0",""
"2010","DEC04","Number","ICCS0101","6",""
"2010","DEC05","Number","ICCS0101","3",""
"2010","DEC06","Number","ICCS0101","0",""
"2010","DED","Number","ICCS0101","35",""
"2010","DED21","Number","ICCS0101","16",""
"2010","DED2C","Number","ICCS0101","3",""
"2010","DED2D","Number","ICCS0101","1",""
"2010","DED2E","Number","ICCS0101","1",""
"2010","DED2F","Number","ICCS0101","1",""
"2010","DED41","Number","ICCS0101","1",""
"2010","DED42","Number","ICCS0101","3",""
"2010","DED43","Number","ICCS0101","0",""
"2010","DED44","Number","ICCS0101","2",""
"2010","DED45","Number","ICCS0101","2",""
"2010","DED51","Number","ICCS0101","3",""
"2010","DED52","Number","ICCS0101","1",""
"2010","DED53","Number","ICCS0101","1",""
"2010","DEE","Number","ICCS0101","26",""
"2010","DEE01","Number","ICCS0101","1",""
"2010","DEE02","Number","ICCS0101","2",""
"2010","DEE03","Number","ICCS0101","4",""
"2010","DEE04","Number","ICCS0101","4",""
"2010","DEE05","Number","ICCS0101","1",""
"2010","DEE06","Number","ICCS0101","0",""
"2010","DEE07","Number","ICCS0101","3",""
"2010","DEE08","Number","ICCS0101","1",""
"2010","DEE09","Number","ICCS0101","1",""
"2010","DEE0A","Number","ICCS0101","0",""
"2010","DEE0B","Number","ICCS0101","1",""
"2010","DEE0C","Number","ICCS0101","3",""
"2010","DEE0D","Number","ICCS0101","3",""
"2010","DEE0E","Number","ICCS0101","2",""
"2010","DEF","Number","ICCS0101","35",""
"2010","DEF01","Number","ICCS0101","0",""
"2010","DEF02","Number","ICCS0101","2",""
"2010","DEF03","Number","ICCS0101","3",""
"2010","DEF04","Number","ICCS0101","0",""
"2010","DEF05","Number","ICCS0101","1",""
"2010","DEF06","Number","ICCS0101","1",""
"2010","DEF07","Number","ICCS0101","1",""
"2010","DEF08","Number","ICCS0101","0",""
"2010","DEF09","Number","ICCS0101","1",""
"2010","DEF0A","Number","ICCS0101","0",""
"2010","DEF0B","Number","ICCS0101","1",""
"2010","DEF0C","Number","ICCS0101","23",""
"2010","DEF0D","Number","ICCS0101","1",""
"2010","DEF0E","Number","ICCS0101","0",""
"2010","DEF0F","Number","ICCS0101","1",""
"2010","DEG","Number","ICCS0101","27",""
"2010","DEG01","Number","ICCS0101","0",""
"2010","DEG02","Number","ICCS0101","1",""
"2010","DEG03","Number","ICCS0101","3",""
"2010","DEG04","Number","ICCS0101","2",""
"2010","DEG05","Number","ICCS0101","0",""
"2010","DEG06","Number","ICCS0101","1",""
"2010","DEG07","Number","ICCS0101","1",""
"2010","DEG09","Number","ICCS0101","6",""
"2010","DEG0A","Number","ICCS0101","0",""
"2010","DEG0B","Number","ICCS0101","1",""
"2010","DEG0C","Number","ICCS0101","2",""
"2010","DEG0D","Number","ICCS0101","0",""
"2010","DEG0E","Number","ICCS0101","1",""
"2010","DEG0F","Number","ICCS0101","0",""
"2010","DEG0G","Number","ICCS0101","0",""
"2010","DEG0H","Number","ICCS0101","1",""
"2010","DEG0I","Number","ICCS0101","0",""
"2010","DEG0J","Number","ICCS0101","2",""
"2010","DEG0K","Number","ICCS0101","2",""
"2010","DEG0L","Number","ICCS0101","0",""
"2010","DEG0M","Number","ICCS0101","4",""
"2010","DEG0N","Number","ICCS0101","0",""
"2010","DEG0P","Number","ICCS0101","0",""
"2010","AT","Number","ICCS0101","56",""
